number,executionTime
0,0.00002539999783039093
1,0.007465599998831749
2,0.008863399997353553
3,0.009956400007009506
4,0.011129800006747246
5,0.012313400000333785
6,0.013483800008893014
7,0.014507400006055831
8,0.016003800004720688
9,0.017487700000405313
10,0.01863680000603199
11,0.020104800000786783
12,0.02111760000884533
13,0.02209229999780655
14,0.023358999997377394
15,0.025044799998402596
16,0.025922700002789498
17,0.02684690000116825
18,0.02775280000269413
19,0.029593800008296967
20,0.031201300010085108
21,0.032484400004148484
22,0.03442329999804497
23,0.036840800002217296
24,0.03785890001058578
25,0.038872900009155276
26,0.039821600005030634
27,0.040869400009512905
28,0.04192080000042915
29,0.0429839999973774
30,0.044307099997997285
31,0.04614410001039505
32,0.04823080000281334
33,0.050703099995851514
34,0.05428270000219345
35,0.05727189999818802
36,0.0630312000066042
37,0.06982549999654293
38,0.07616960000991821
39,0.08963889999687671
40,0.10826389999687672
41,0.12745090000331402
42,0.1666283999979496
43,0.22149530000984669
44,0.27734360000491143
45,0.38599330000579357
46,0.5426093000024557
47,0.6930403999984265
48,0.9998205000013113
49,1.4766590000092983
50,1.9427034000009298
51,2.8656617999970915
52,4.270265200003982
53,5.669777000010013
54,8.454748300001025
55,12.651858099997044
56,16.8339076000005
57,25.185867300003768
58,37.73030269999802
59,50.23119770000875
60,75.13427920000255
61,112.57776980000735
62,150.14722730000318
63,227.2673543000072
64,341.52267570000885
65,457.61072450000046
66,686.6495012000054
67,1028.5171526000054
68,1368.3828501999974
69,2044.9233154000044
70,3068.955871600002
71,4084.5022043000013
72,6130.649396400005
